time_sec,x,y,yaw
22.140,0.0000,-0.0000,-0.0000
22.740,0.0526,-0.0043,-0.1384
23.060,0.1019,-0.0137,-0.2384
23.380,0.1504,-0.0280,-0.3336
23.700,0.1974,-0.0468,-0.4273
24.020,0.2424,-0.0699,-0.5216
24.340,0.2850,-0.0971,-0.6169
24.660,0.3245,-0.1282,-0.7155
25.000,0.3625,-0.1650,-0.8270
25.340,0.3957,-0.2056,-0.9449
25.680,0.4235,-0.2495,-1.0689
26.020,0.4454,-0.2964,-1.1967
26.360,0.4610,-0.3453,-1.3283
26.700,0.4700,-0.3959,-1.4608
27.040,0.4722,-0.4472,-1.5933
27.380,0.4677,-0.4982,-1.7278
27.720,0.4563,-0.5476,-1.8684
28.080,0.4369,-0.5966,-2.0308
28.440,0.4103,-0.6400,-2.2166
28.840,0.3740,-0.6777,-2.4808
29.280,0.3283,-0.7015,-2.8504
29.720,0.2774,-0.7068,3.0588
30.160,0.2281,-0.6931,2.6848
30.540,0.1856,-0.6645,2.4714
30.880,0.1476,-0.6305,2.3524
31.220,0.1140,-0.5923,2.2334
31.560,0.0850,-0.5503,2.1144
31.900,0.0613,-0.5052,1.9954
32.240,0.0431,-0.4576,1.8764
32.580,0.0307,-0.4082,1.7574
32.920,0.0242,-0.3576,1.6384
33.260,0.0238,-0.3066,1.5194
33.600,0.0295,-0.2560,1.4004
33.960,0.0425,-0.2058,1.2282
34.320,0.0642,-0.1582,1.0607
34.680,0.0935,-0.1146,0.8961
35.040,0.1297,-0.0762,0.7347
35.400,0.1715,-0.0442,0.5714
35.780,0.2170,-0.0209,0.3388
36.220,0.2676,-0.0132,-0.0352
36.660,0.3175,-0.0245,-0.4089
37.060,0.3598,-0.0512,-0.7025
37.440,0.3947,-0.0888,-0.9325
37.800,0.4207,-0.1321,-1.1237
38.160,0.4385,-0.1801,-1.3059
38.520,0.4475,-0.2308,-1.4849
38.880,0.4472,-0.2820,-1.6679
39.240,0.4376,-0.3316,-1.8591
39.620,0.4177,-0.3792,-2.0842
40.040,0.3859,-0.4202,-2.4010
40.480,0.3424,-0.4471,-2.7750
40.920,0.2920,-0.4563,3.1341
41.360,0.2418,-0.4464,2.7601
41.740,0.1966,-0.4210,2.5558
42.080,0.1559,-0.3904,2.4368
42.420,0.1191,-0.3551,2.3178
42.760,0.0868,-0.3157,2.1988
43.100,0.0593,-0.2727,2.0798
43.440,0.0372,-0.2268,1.9608
43.780,0.0206,-0.1786,1.8418
44.120,0.0099,-0.1288,1.7228
44.460,0.0052,-0.0780,1.6038
44.800,0.0066,-0.0271,1.4848
45.140,0.0140,0.0234,1.3658
45.480,0.0273,0.0726,1.2468
45.820,0.0464,0.1198,1.1278
46.160,0.0709,0.1645,1.0088
46.500,0.1006,0.2059,0.8898
46.840,0.1350,0.2435,0.7708
47.180,0.1736,0.2768,0.6518
47.520,0.2159,0.3053,0.5328
47.860,0.2612,0.3285,0.4138
48.200,0.3091,0.3462,0.2948
48.540,0.3586,0.3581,0.1758
48.880,0.4083,0.3639,0.0598
50.520,0.4412,0.4046,0.8321
50.860,0.4777,0.4402,0.7131
51.200,0.5182,0.4711,0.5941
53.220,0.5565,0.5035,1.6970
53.560,0.5473,0.5549,1.8112
53.920,0.5308,0.6045,1.9795
54.260,0.5065,0.6512,2.0693
54.660,0.4870,0.6988,1.7945
55.080,0.4846,0.7492,1.4636
55.420,0.4937,0.8016,1.3571
55.720,0.5052,0.8529,1.3519
56.020,0.5154,0.9030,1.3910
56.380,0.5270,0.9536,1.2350
56.740,0.5492,1.0007,1.0671
57.060,0.5764,1.0460,1.0033
57.360,0.6052,1.0900,0.9848
57.660,0.6340,1.1322,0.9460
59.320,0.6486,1.1819,1.6715
59.660,0.6465,1.2328,1.5525
60.000,0.6505,1.2836,1.4335
60.340,0.6604,1.3336,1.3145
62.460,0.6311,1.3742,2.6281
62.820,0.5841,1.3956,2.8049
63.160,0.5342,1.4087,2.9238
63.480,0.4844,1.4213,2.8406
63.860,0.4372,1.4413,2.6104
64.300,0.3981,1.4754,2.2472
64.660,0.3696,1.5192,2.0820
64.960,0.3461,1.5642,2.0401
65.260,0.3219,1.6113,2.0547
65.560,0.2979,1.6559,2.0522
65.960,0.2796,1.7034,1.7708
66.320,0.2753,1.7535,1.5794
66.640,0.2767,1.8067,1.5213
66.940,0.2798,1.8596,1.5078
67.220,0.2830,1.9097,1.5048
67.500,0.2864,1.9598,1.5029
67.800,0.2902,2.0127,1.4900
68.140,0.2973,2.0635,1.3568
73.460,0.3143,2.0159,-1.3125
73.800,0.3308,1.9679,-1.1712
74.140,0.3542,1.9206,-1.0589
74.460,0.3818,1.8753,-0.9976
74.760,0.4107,1.8314,-0.9814
75.060,0.4394,1.7878,-1.0058
75.380,0.4660,1.7427,-1.0768
75.700,0.4878,1.6973,-1.1742
76.040,0.5053,1.6477,-1.2896
76.380,0.5167,1.5968,-1.4111
76.720,0.5218,1.5449,-1.5332
77.060,0.5207,1.4927,-1.6532
77.400,0.5132,1.4410,-1.7746
77.740,0.4996,1.3908,-1.8977
78.080,0.4799,1.3429,-2.0237
78.420,0.4544,1.2981,-2.1533
78.760,0.4234,1.2571,-2.2858
79.100,0.3873,1.2208,-2.4206
79.440,0.3468,1.1898,-2.5568
79.780,0.3025,1.1647,-2.6960
80.120,0.2555,1.1462,-2.8385
80.480,0.2040,1.1345,-3.0000
80.840,0.1525,1.1317,3.1056
81.220,0.1017,1.1390,2.8763
81.660,0.0546,1.1611,2.5143
82.100,0.0193,1.1985,2.1435
82.520,-0.0015,1.2466,1.8337
82.900,-0.0091,1.2977,1.6095
83.280,-0.0057,1.3494,1.3871
83.720,0.0128,1.3971,1.0131
84.160,0.0475,1.4347,0.6391
84.600,0.0936,1.4571,0.2651
85.040,0.1446,1.4611,-0.1089
85.480,0.1935,1.4462,-0.4829
85.920,0.2340,1.4141,-0.8443
86.260,0.2655,1.3740,-0.9633
86.600,0.2921,1.3305,-1.0823
86.940,0.3133,1.2842,-1.2013
87.280,0.3288,1.2356,-1.3203
87.620,0.3382,1.1865,-1.4592
87.980,0.3395,1.1342,-1.6275
88.320,0.3329,1.0845,-1.7758
88.660,0.3191,1.0359,-1.9187
89.000,0.2985,0.9897,-2.0613
89.340,0.2717,0.9471,-2.2074
89.680,0.2390,0.9092,-2.3569
90.040,0.1987,0.8749,-2.5169
90.400,0.1536,0.8477,-2.6796
90.760,0.1050,0.8283,-2.8478
91.120,0.0549,0.8179,-3.0296
91.500,0.0030,0.8176,3.0324
91.920,-0.0468,0.8308,2.7095
92.360,-0.0885,0.8605,2.3355
92.800,-0.1164,0.9033,1.9615
93.240,-0.1268,0.9535,1.5875
93.680,-0.1181,1.0039,1.2135
94.120,-0.0916,1.0477,0.8395
94.560,-0.0509,1.0788,0.4655
95.000,-0.0017,1.0928,0.0915
95.440,0.0492,1.0880,-0.2825
95.860,0.0965,1.0646,-0.5754
96.200,0.1376,1.0344,-0.6944
96.540,0.1747,0.9995,-0.8134
96.880,0.2075,0.9604,-0.9324
97.220,0.2354,0.9178,-1.0514
97.560,0.2580,0.8721,-1.1704
97.900,0.2750,0.8240,-1.2894
98.240,0.2863,0.7743,-1.4084
98.580,0.2915,0.7236,-1.5274
98.920,0.2907,0.6727,-1.6464
99.260,0.2838,0.6222,-1.7654
99.600,0.2710,0.5728,-1.8844
99.940,0.2524,0.5254,-2.0034
